ID,Number,FirstName,LastName,PhoneNumber,WorkEmail,StaffTypeID,AddressID
1,11100001,Tiffany,Taro,425-123-1265,ttaro@ne.edu,HRT,31
2,11100002,Eddie,Collins,425-123-1345,ecollins@ne.edu,HRT,32
3,11100003,Sharon,McMadden,425-123-1456,smcmadden@ne.edu,HRT,33
4,11100004,Aaron,McMadden,425-123-1565,amcmadden@ne.edu,HRT,33
5,11100005,Ashliegh,Sleigh,425-123-1642,asleigh@ne.edu,HRT,34
6,11100006,Daniel,Kim,425-123-1743,dkim@ne.edu,HRT,35
7,11100007,Mark,Barbrin,425-123-1894,mbarbrin@ne.edu,HRT,36
8,11100008,Zach,Martin,425-123-1999,zmartin@ne.edu,HRT,37
9,11100009,Zack,Baker,425-123-1010,zbaker@ne.edu,HRT,38
10,11100010,Patricia,Allen,425-123-2154,pallen@ne.edu,HRT,39
11,11100011,Maria,Campbell,425-123-2234,mcampbell@ne.edu,PET,40
12,11100012,Marielle,Roberts,425-123-2709,mroberts@ne.edu,LUN,41
13,11100013,Alice,Hart,425-123-2445,ahart@ne.edu,PRI,42
14,11100014,Roxie,Larson,425-123-2356,rlarson@ne.edu,LUN,43
15,11100015,Shelly,Shea,425-123-2555,sshea@ne.edu,LUN,44
16,11100016,Mei,Muhn,425-123-2678,mmuhn@ne.edu,IT,45
17,11100017,Madison,Collins,425-123-2788,mcollins@ne.edu,PET,32
18,11100018,Edward,Stewart,425-123-2854,estewart@ne.edu,IT,46
19,11100019,Maya,Parker,425-123-2900,mparker@ne.edu,IT,47
